Status,Time,Date
OK,21:41:12,2017-03-02
OK,15:29:14,2017-03-11
OK,15:29:16,2017-03-11
OK,15:29:19,2017-03-11
OK,15:29:44,2017-03-11
OK,15:29:46,2017-03-11
OK,15:29:49,2017-03-11
OK,15:29:52,2017-03-11
OK,15:29:54,2017-03-11
OK,15:29:57,2017-03-11
OK,15:30:00,2017-03-11
OK,15:30:02,2017-03-11
OK,15:30:05,2017-03-11
OK,15:30:08,2017-03-11
OK,15:30:10,2017-03-11
OK,15:30:13,2017-03-11
OK,15:30:15,2017-03-11
OK,15:30:18,2017-03-11
OK,15:30:21,2017-03-11
OK,15:30:23,2017-03-11
OK,15:30:26,2017-03-11
OK,15:30:28,2017-03-11
OK,15:30:31,2017-03-11
OK,15:30:34,2017-03-11
OK,15:30:36,2017-03-11
OK,15:30:39,2017-03-11
OK,15:30:42,2017-03-11
OK,15:30:45,2017-03-11
OK,15:30:47,2017-03-11
OK,15:30:50,2017-03-11
OK,15:30:52,2017-03-11
OK,15:30:55,2017-03-11
OK,15:30:58,2017-03-11
OK,15:31:01,2017-03-11
OK,15:31:04,2017-03-11
OK,15:31:07,2017-03-11
OK,15:31:11,2017-03-11
OK,15:31:14,2017-03-11
OK,15:31:17,2017-03-11
OK,15:31:20,2017-03-11
OK,15:31:24,2017-03-11
OK,15:31:27,2017-03-11
OK,15:31:29,2017-03-11
OK,15:31:32,2017-03-11
OK,15:31:34,2017-03-11
OK,15:31:37,2017-03-11
OK,15:31:39,2017-03-11
OK,15:31:42,2017-03-11
OK,15:31:45,2017-03-11
OK,15:31:47,2017-03-11
OK,15:31:50,2017-03-11
OK,15:31:52,2017-03-11
OK,15:31:55,2017-03-11
OK,15:31:58,2017-03-11
OK,15:32:00,2017-03-11
OK,15:32:03,2017-03-11
OK,15:32:05,2017-03-11
OK,15:32:08,2017-03-11
OK,15:32:11,2017-03-11
OK,15:32:13,2017-03-11
OK,15:32:16,2017-03-11
OK,15:32:18,2017-03-11
OK,15:32:21,2017-03-11
OK,15:32:24,2017-03-11
OK,15:32:26,2017-03-11
OK,15:32:29,2017-03-11
OK,15:32:32,2017-03-11
OK,15:32:34,2017-03-11
OK,15:32:37,2017-03-11
OK,15:32:39,2017-03-11
OK,15:32:42,2017-03-11
OK,15:32:45,2017-03-11
OK,15:32:47,2017-03-11
OK,15:32:50,2017-03-11
OK,15:32:52,2017-03-11
OK,15:32:55,2017-03-11
OK,15:32:57,2017-03-11
OK,15:33:00,2017-03-11
OK,15:33:03,2017-03-11
OK,15:33:05,2017-03-11
OK,15:33:08,2017-03-11
OK,15:33:11,2017-03-11
OK,15:33:13,2017-03-11
OK,15:33:16,2017-03-11
OK,15:33:18,2017-03-11
OK,15:33:21,2017-03-11
OK,15:33:23,2017-03-11
OK,15:33:26,2017-03-11
OK,15:33:28,2017-03-11
OK,15:33:31,2017-03-11
OK,15:33:34,2017-03-11
OK,15:33:36,2017-03-11
OK,15:33:39,2017-03-11
OK,15:33:41,2017-03-11
OK,15:33:49,2017-03-11
OK,15:33:52,2017-03-11
OK,15:33:54,2017-03-11
OK,15:33:57,2017-03-11
OK,15:34:00,2017-03-11
OK,15:34:02,2017-03-11
OK,15:34:05,2017-03-11
OK,15:34:07,2017-03-11
OK,15:34:10,2017-03-11
OK,15:34:13,2017-03-11
OK,15:34:15,2017-03-11
OK,15:34:18,2017-03-11
OK,15:34:20,2017-03-11
OK,15:34:23,2017-03-11
OK,15:34:26,2017-03-11
OK,15:34:29,2017-03-11
OK,15:34:31,2017-03-11
OK,15:34:34,2017-03-11
OK,15:34:36,2017-03-11
OK,15:34:39,2017-03-11
OK,15:34:41,2017-03-11
OK,15:34:44,2017-03-11
OK,15:34:47,2017-03-11
OK,15:34:49,2017-03-11
OK,15:34:52,2017-03-11
OK,15:34:55,2017-03-11
OK,15:34:57,2017-03-11
OK,15:35:00,2017-03-11
OK,15:35:02,2017-03-11
OK,15:35:05,2017-03-11
OK,15:35:08,2017-03-11
OK,15:35:10,2017-03-11
OK,15:35:13,2017-03-11
OK,15:35:15,2017-03-11
OK,15:35:18,2017-03-11
OK,15:35:20,2017-03-11
OK,15:35:23,2017-03-11
OK,15:35:25,2017-03-11
OK,15:35:28,2017-03-11
OK,15:35:31,2017-03-11
OK,15:35:33,2017-03-11
OK,15:35:36,2017-03-11
OK,15:35:38,2017-03-11
OK,15:35:41,2017-03-11
OK,15:35:43,2017-03-11
OK,15:35:46,2017-03-11
OK,15:35:48,2017-03-11
OK,15:35:51,2017-03-11
OK,15:35:54,2017-03-11
OK,15:35:56,2017-03-11
OK,15:35:58,2017-03-11
OK,15:36:01,2017-03-11
OK,15:36:04,2017-03-11
OK,15:36:06,2017-03-11
OK,15:36:09,2017-03-11
OK,15:36:11,2017-03-11
OK,15:36:14,2017-03-11
