Status,Time,Date
OK,20:59:19,2017-03-02
OK,21:35:16,2017-03-02
OK,21:35:48,2017-03-02
OK,21:36:19,2017-03-02
OK,21:36:52,2017-03-02
OK,21:37:23,2017-03-02
OK,21:37:45,2017-03-02
OK,21:38:18,2017-03-02
OK,21:38:52,2017-03-02
OK,21:39:24,2017-03-02
OK,21:39:55,2017-03-02
OK,21:40:26,2017-03-02
OK,21:40:57,2017-03-02
OK,21:41:28,2017-03-02
OK,21:41:59,2017-03-02
OK,21:42:30,2017-03-02
OK,15:29:17,2017-03-11
OK,15:29:46,2017-03-11
OK,15:30:17,2017-03-11
OK,15:30:48,2017-03-11
OK,15:31:22,2017-03-11
OK,15:31:53,2017-03-11
OK,15:32:23,2017-03-11
OK,15:32:54,2017-03-11
OK,15:33:25,2017-03-11
OK,15:33:56,2017-03-11
OK,15:34:27,2017-03-11
OK,15:34:58,2017-03-11
OK,15:35:29,2017-03-11
OK,15:36:01,2017-03-11
OK,15:36:32,2017-03-11
OK,15:37:03,2017-03-11
OK,15:37:34,2017-03-11
OK,15:38:05,2017-03-11
OK,15:38:36,2017-03-11
OK,15:39:07,2017-03-11
OK,09:20:06,2017-03-26
OK,09:28:04,2017-03-26
OK,09:29:26,2017-03-26
OK,09:30:10,2017-03-26
OK,09:30:34,2017-03-26
OK,10:01:20,2017-03-26
OK,10:06:04,2017-03-26
OK,10:17:25,2017-03-26
OK,10:17:56,2017-03-26
OK,10:18:26,2017-03-26
OK,10:18:57,2017-03-26
OK,10:19:28,2017-03-26
OK,10:28:40,2017-03-26
OK,10:30:14,2017-03-26
OK,10:33:27,2017-03-26
OK,10:36:47,2017-03-26
OK,10:37:21,2017-03-26
OK,10:37:52,2017-03-26
OK,10:39:56,2017-03-26
OK,10:42:22,2017-03-26
OK,10:43:10,2017-03-26
OK,10:44:11,2017-03-26
OK,10:47:33,2017-03-26
OK,10:48:56,2017-03-26
OK,14:51:32,2017-03-26
