Status,Time,Date
OK,21:35:17,2017-03-02
OK,21:35:17,2017-03-02
OK,21:35:49,2017-03-02
OK,21:36:22,2017-03-02
OK,21:36:54,2017-03-02
OK,21:37:27,2017-03-02
OK,21:37:47,2017-03-02
OK,21:38:19,2017-03-02
OK,21:38:55,2017-03-02
OK,21:39:27,2017-03-02
OK,21:39:59,2017-03-02
OK,21:40:32,2017-03-02
OK,21:41:05,2017-03-02
OK,21:41:38,2017-03-02
OK,21:42:12,2017-03-02
OK,21:42:46,2017-03-02
OK,15:29:18,2017-03-11
OK,15:29:47,2017-03-11
OK,15:30:20,2017-03-11
OK,15:30:52,2017-03-11
OK,15:31:26,2017-03-11
OK,15:31:59,2017-03-11
OK,15:32:31,2017-03-11
OK,15:33:04,2017-03-11
OK,15:33:36,2017-03-11
OK,15:34:09,2017-03-11
OK,15:34:41,2017-03-11
OK,15:35:18,2017-03-11
OK,15:35:50,2017-03-11
OK,15:36:23,2017-03-11
OK,15:36:55,2017-03-11
OK,15:37:27,2017-03-11
OK,15:37:59,2017-03-11
OK,15:38:31,2017-03-11
OK,15:39:03,2017-03-11
OK,09:20:07,2017-03-26
OK,09:28:05,2017-03-26
OK,09:29:27,2017-03-26
OK,09:30:10,2017-03-26
OK,09:30:34,2017-03-26
OK,10:01:21,2017-03-26
OK,10:06:05,2017-03-26
OK,10:17:26,2017-03-26
OK,10:17:57,2017-03-26
OK,10:18:29,2017-03-26
OK,10:19:00,2017-03-26
OK,10:28:41,2017-03-26
OK,10:30:15,2017-03-26
OK,10:33:28,2017-03-26
OK,10:36:47,2017-03-26
OK,10:37:22,2017-03-26
OK,10:37:54,2017-03-26
OK,10:40:02,2017-03-26
OK,10:42:22,2017-03-26
OK,10:43:11,2017-03-26
OK,10:44:12,2017-03-26
OK,10:44:12,2017-03-26
OK,10:47:33,2017-03-26
OK,10:48:57,2017-03-26
OK,15:51:24,2017-03-26
OK,15:51:55,2017-03-26
