Status,Time,Date
OK,20:48:28,2017-02-27
OK,20:48:29,2017-02-27
OK,20:48:31,2017-02-27
OK,20:48:33,2017-02-27
OK,20:49:27,2017-02-27
OK,20:49:30,2017-02-27
OK,20:50:42,2017-02-27
OK,20:50:44,2017-02-27
OK,20:50:47,2017-02-27
OK,20:50:49,2017-02-27
OK,20:50:51,2017-02-27
OK,20:50:52,2017-02-27
OK,20:50:54,2017-02-27
OK,20:50:56,2017-02-27
OK,20:50:58,2017-02-27
OK,20:51:00,2017-02-27
OK,20:52:16,2017-02-27
OK,20:56:07,2017-02-27
OK,20:56:08,2017-02-27
OK,20:56:09,2017-02-27
OK,20:56:10,2017-02-27
OK,20:56:11,2017-02-27
OK,20:56:12,2017-02-27
OK,20:56:12,2017-02-27
OK,20:56:13,2017-02-27
OK,20:56:13,2017-02-27
OK,20:56:15,2017-02-27
OK,20:56:28,2017-02-27
OK,20:56:30,2017-02-27
OK,20:56:31,2017-02-27
OK,20:56:34,2017-02-27
OK,20:57:50,2017-02-27
OK,20:57:53,2017-02-27
OK,20:57:54,2017-02-27
OK,20:58:20,2017-02-27
OK,21:00:46,2017-02-27
OK,21:02:04,2017-02-27
OK,21:04:48,2017-02-27
OK,21:04:49,2017-02-27
OK,21:04:51,2017-02-27
OK,21:06:17,2017-02-27
OK,21:06:19,2017-02-27
OK,21:06:20,2017-02-27
OK,21:06:22,2017-02-27
OK,21:06:24,2017-02-27
OK,21:06:25,2017-02-27
OK,21:07:31,2017-02-27
OK,21:10:27,2017-02-27
OK,21:10:30,2017-02-27
OK,21:10:34,2017-02-27
OK,21:45:55,2017-02-27
OK,21:45:58,2017-02-27
OK,21:46:00,2017-02-27
OK,21:46:01,2017-02-27
OK,21:46:03,2017-02-27
OK,21:46:05,2017-02-27
OK,21:46:07,2017-02-27
OK,21:46:08,2017-02-27
OK,21:46:10,2017-02-27
OK,21:46:11,2017-02-27
OK,21:46:14,2017-02-27
OK,21:46:16,2017-02-27
OK,21:46:17,2017-02-27
OK,21:46:19,2017-02-27
OK,22:24:44,2017-02-27
OK,22:24:50,2017-02-27
OK,22:24:55,2017-02-27
OK,22:24:58,2017-02-27
OK,22:25:00,2017-02-27
OK,22:25:04,2017-02-27
OK,22:25:05,2017-02-27
